B	E
0.210084034	0.00501702
0.420168067	0.0168287
0.420168067	0.0168287
0.840336134	0.0681385
1.050420168	0.108631
1.680672269	0.257154
2.731092437	0.481799
3.991596639	0.619139
6.092436975	0.741947
9.243697479	0.81879
14.28571429	0.876459
21.63865546	0.913842
32.98319328	0.941596
50.21008403	0.960992
76.68067227	0.974021
