B	E
0.207900208	0.0117902
0.415800416	0.0375741
0.415800416	0.0375741
0.831600832	0.135096
1.03950104	0.188337
1.663201663	0.373019
2.702702703	0.554412
3.95010395	0.676728
6.029106029	0.777124
9.147609148	0.836839
14.13721414	0.888383
21.41372141	0.920374
32.64033264	0.943888
49.68814969	0.964234
75.88357588	0.975376
