B	E
0.347721823	0.0161724
0.443645084	0.0251858
0.587529976	0.0660948
0.755395683	0.17007
0.983213429	0.374381
1.282973621	0.500731
1.678657074	0.575452
2.182254197	0.630203
2.841726619	0.680674
3.693045564	0.723743
4.808153477	0.760423
6.258992806	0.790993
8.153477218	0.817773
0.263788969	0.0115232
10.61151079	0.840253
13.81294964	0.859031
17.98561151	0.874009
