1	0.0638962	x	0.0619835
1	0.0642311	x	0.0673653
2	0.09743	x	0.0945378
2	0.0967222	x	0.0978261
3	0.124898	x	0.131323
4	0.145653	x	0.138889
5	0.165417
6	0.18519	x	0.196221
8	0.215858	x	0.225282
10	0.243271	x	0.223881
12	0.270284	x	0.263672
16	0.32106	x	0.303797
21	0.369191	x	0.35078
27	0.417289	x	0.445708
34	0.463821	x	0.447107
44	0.527056
57	0.580986	x	0.626374
73	0.628107
94	0.677872	x	0.658439
120	0.718638	x	0.745239
155	0.762925
199	0.80254
257	0.831157	x	0.812067
330	0.863977	x	0.878075
425	0.890118	x	0.901357
547	0.911671
704	0.923106
906	0.94557
1166	0.954401
1500	0.964298
