0.5	0.535068
0.529854	0.565941
0.561491	0.602413
0.595017	0.636294
0.630545	0.6785
0.668193	0.717733
0.70809	0.763166
0.750369	0.811303
0.795173	0.861114
0.842651	0.916964
0.892965	0.975315
0.946283	1.03668
1.00278	1.108
1.06266	1.18075
1.12611	1.26539
1.19335	1.35429
1.2646	1.4423
1.34011	1.5425
1.42012	1.64514
1.50492	1.76966
1.59477	1.8852
1.68999	2.02828
1.7909	2.17374
1.89783	2.32708
2.01115	2.48911
2.13123	2.66071
2.25849	2.86724
2.39334	3.06793
2.53624	3.2888
2.68768	3.54198
2.84815	3.79285
3.01821	4.06682
3.19842	4.3724
3.3894	4.68734
3.59177	5.03674
3.80623	5.43882
4.0335	5.80891
4.27433	6.22094
4.52955	6.68333
4.8	7.15497
