1	0.0538648	x	0.0565771
1	0.0538742	x	0.0513479
2	0.0806371	x	0.0792079
2	0.0823735	x	0.0751731
3	0.101387	x	0.105541
4	0.121404	x	0.128205
5	0.1375	x	0.126984
6	0.154544	x	0.167894
8	0.178802	x	0.166234
10	0.201367	x	0.217391
12	0.226423	x	0.236637
16	0.260657	x	0.249897
21	0.300687	x	0.283688
27	0.342797	x	0.351677
34	0.383745	x	0.397906
44	0.433298	x	0.47527
57	0.489814
73	0.545785
94	0.596014	x	0.615183
120	0.651423	x	0.667252
155	0.695218
199	0.750182
257	0.78718	x	0.778375
330	0.822033
425	0.851104
547	0.88088
704	0.901705
906	0.920549
1166	0.939519
1500	0.950723
