0.5	0.503413
0.529854	0.534143
0.561491	0.564902
0.595017	0.601403
0.630545	0.631595
0.668193	0.671705
0.70809	0.714266
0.750369	0.754627
0.795173	0.801012
0.842651	0.846683
0.892965	0.902176
0.946283	0.953377
1.00278	1.01501
1.06266	1.07166
1.12611	1.13936
1.19335	1.20714
1.2646	1.27734
1.34011	1.35635
1.42012	1.43734
1.50492	1.52597
1.59477	1.62044
1.68999	1.7131
1.7909	1.82499
1.89783	1.93285
2.01115	2.04997
2.13123	2.16818
2.25849	2.2909
2.39334	2.43295
2.53624	2.58662
2.68768	2.7331
2.84815	2.89851
3.01821	3.05465
3.19842	3.25255
3.3894	3.45211
3.59177	3.65807
3.80623	3.87388
4.0335	4.08875
4.27433	4.35873
4.52955	4.60615
4.8	4.86644
