6	0.0385771	p	0.83363	x	0.0395909
11	0.103126	p	0.778175	x	0.100779
19	0.22812	p	0.821471	x	0.215848
33	0.361832	p	0.875141	x	0.344108
57	0.477207	p	0.91808	x	0.465496
101	0.60509	p	0.949051	x	0.598099
178	0.723489	p	0.967943
313	0.814866	p	0.979802	x	0.828331
551	inf	p	0	px	0.987323	x	0.828331
