0.5	0.51479
0.528978	0.54373
0.559636	0.580832
0.59207	0.609824
0.626385	0.645305
0.662688	0.682431
0.701094	0.72335
0.741727	0.76686
0.784715	0.812007
0.830194	0.862351
0.878309	0.91279
0.929213	0.963953
0.983067	1.02466
1.04004	1.08853
1.10032	1.15364
1.16409	1.2278
1.23156	1.29617
1.30293	1.38521
1.37845	1.46573
1.45834	1.55664
1.54286	1.65197
1.63227	1.76298
1.72687	1.87266
1.82696	1.99686
1.93284	2.11742
2.04486	2.24915
2.16337	2.38788
2.28876	2.52409
2.4214	2.68272
2.56174	2.8333
2.71021	3.02987
2.86728	3.21081
3.03346	3.40539
3.20927	3.60324
3.39527	3.83891
3.59204	4.07344
3.80022	4.31205
4.02047	4.5604
4.25348	4.85986
4.5	5.16596
