0.5	0.781884	0.760261	1.00002	1.00001
0.530134	0.829868	0.779284	1.06029	1.02971
0.562085	0.895232	0.81072	1.1242	1.06029
0.595961	0.944725	0.823581	1.19196	1.09177
0.631879	1.00684	0.853547	1.26382	1.1242
0.669962	1.07472	0.88163	1.34	1.15759
0.71034	1.16385	0.908725	1.42079	1.19198
0.753152	1.24215	0.945118	1.50645	1.22739
0.798543	1.35502	0.987648	1.59729	1.26386
0.846671	1.44486	1.03524	1.69362	1.30142
0.897699	1.55584	1.06345	1.79579	1.34011
0.951802	1.66691	1.11865	1.90414	1.37996
1.00917	1.78515	1.15147	2.01906	1.42102
1.06999	1.93376	1.21788	2.14097	1.46332
1.13447	2.08065	1.27019	2.2703	1.50691
1.20285	2.24409	1.3382	2.40754	1.55185
1.27534	2.39244	1.38177	2.55319	1.59819
1.35221	2.58019	1.45914	2.7078	1.64599
1.4337	2.79361	1.53794	2.87199	1.69533
1.52011	2.99553	1.59151	3.04641	1.74629
1.61173	3.21636	1.66236	3.2318	1.79897
1.70886	3.44604	1.73112	3.42896	1.8535
1.81185	3.73405	1.799	3.63882	1.91002
1.92105	4.03898	1.90212	3.8624	1.96874
2.03683	4.32171	1.95478	4.1009	2.0299
2.15959	4.6673	2.04474	4.35574	2.09383
2.28975	5.15396	2.15648	4.62859	2.16099
2.42775	5.62717	2.22655	4.92151	2.23201
2.57406	6.11521	2.31691	5.23709	2.30777
2.7292	6.93825	2.51715	5.57869	2.38961
2.89369	7.97887	2.72466	5.95086	2.47953
3.06809	9.23119	3.06627	6.35998	2.58075
3.253	11.4748	3.60965	6.81553	2.69859
3.44905	14.378	4.02871	7.3325	2.84249
3.65692	20.2617	5.01875	7.93648	3.03035
3.87732	37.4194	8.83088	8.67579	3.29966
4.111	75.4287	13.9927	9.65544	3.73999
4.35877	194.006	36.161	11.1579	4.61251
4.62147	408.467	86.4554	14.302	7.01158
4.9	709.903	202.391	33.1599	24.9959
