1	0.0489077	x	0.0454215
1	0.0484528	x	0.0513136
2	0.0732775	x	0.0671321
2	0.0732369	x	0.074228
3	0.0927541
4	0.108567	x	0.10725
5	0.122213	x	0.11121
6	0.136431	x	0.145337
8	0.15985	x	0.163026
10	0.178317	x	0.182535
12	0.197105	x	0.208333
16	0.229986	x	0.248447
21	0.261474	x	0.271627
27	0.302902	x	0.332643
34	0.341892	x	0.374186
44	0.383573	x	0.390244
57	0.437196	x	0.432762
73	0.481455	x	0.496896
94	0.544802	x	0.565017
120	0.604539	x	0.616523
155	0.649796	x	0.662488
199	0.703971
257	0.74829
330	0.786707
425	0.825066	x	0.835162
547	0.854765
704	0.88184
906	0.906392	x	0.895682
1166	0.928343
1500	0.939294
