1	0.0437758	x	0.0428172
1	0.0435575	x	0.0427574
2	0.0648851	x	0.0632585
2	0.0653282	x	0.0671747
3	0.0810624	x	0.0841783
4	0.0957803	x	0.0907358
5	0.108676	x	0.111653
6	0.120338	x	0.125439
8	0.14061	x	0.147368
10	0.157555	x	0.173956
12	0.173093	x	0.178031
16	0.200976	x	0.206284
21	0.228885	x	0.23793
27	0.263949	x	0.274664
34	0.294944	x	0.299986
44	0.332419	x	0.344101
57	0.379502
73	0.418068
94	0.475845	x	0.4972
120	0.533269
155	0.581047
199	0.638853	x	0.650416
257	0.6882
330	0.735229
425	0.781661
547	0.819957
704	0.854267
906	0.883011
1166	0.908193
1500	0.924078
