1	0.0905857	x	0.0970874
1	0.0912469
2	0.140563	x	0.152672
2	0.140197	x	0.134228
3	0.177335	x	0.192308
4	0.211646	x	0.218579
5	0.238047	x	0.226244
6	0.268632	x	0.288462
8	0.322562	x	0.298507
10	0.354642	x	0.343643
12	0.395889	x	0.375
16	0.452908
21	0.51271	x	0.551181
27	0.567531
34	0.603095	x	0.634328
44	0.655832	x	0.690738
57	0.71029	x	0.72335
73	0.754878
94	0.777151	x	0.757386
120	0.812685	x	0.827016
155	0.842134	x	0.852117
199	0.877023	x	0.893713
257	0.894623	x	0.851275
330	0.909404
425	0.933738
547	0.948027	x	0.931152
704	0.957745	x	0.977914
906	0.968992
1166	0.976674
1500	0.982166
