0.5	0.869995	0.873162	0.792862	1.00011
0.530134	0.945807	0.91777	0.85262	1.02984
0.562085	1.00705	0.956305	0.915975	1.06045
0.595961	1.08703	0.994696	0.983144	1.09199
0.631879	1.16227	1.0287	1.05436	1.12447
0.669962	1.25995	1.07183	1.12987	1.15794
0.71034	1.35545	1.11847	1.20993	1.19243
0.753152	1.46079	1.1742	1.29483	1.22796
0.798543	1.5611	1.2151	1.38487	1.26459
0.846671	1.66344	1.26836	1.48036	1.30235
0.897699	1.81025	1.33506	1.58165	1.3413
0.951802	1.92538	1.38278	1.6891	1.38148
1.00917	2.06771	1.44304	1.80312	1.42295
1.06999	2.24077	1.50853	1.92413	1.46578
1.13447	2.40449	1.58412	2.05261	1.51004
1.20285	2.55658	1.64291	2.18905	1.55584
1.27534	2.73348	1.71204	2.33402	1.60327
1.35221	2.94035	1.7837	2.48812	1.65248
1.4337	3.12696	1.877	2.65206	1.70362
1.52011	3.34786	1.94368	2.82658	1.75691
1.61173	3.5553	2.00118	3.01256	1.81261
1.70886	3.81861	2.11667	3.211	1.87108
1.81185	4.09933	2.17876	3.42307	1.93279
1.92105	4.32127	2.25786	3.65014	1.99841
2.03683	4.61858	2.34517	3.89388	2.06886
2.15959	4.96332	2.43841	4.15636	2.1455
2.28975	5.30658	2.50809	4.44021	2.23037
2.42775	5.70986	2.60336	4.7489	2.32667
2.57406	6.09249	2.69977	5.08715	2.43963
2.7292	6.61182	2.84267	5.46174	2.57832
2.89369	7.08728	2.93875	5.88283	2.75957
3.06809	7.64188	3.01634	6.36675	3.01751
3.253	8.2731	3.1688	6.94194	3.43032
3.44905	9.38446	3.50132	7.66338	4.21265
3.65692	11.0565	4.00366	8.65459	6.17402
3.87732	13.144	4.68754	10.2661	16.332
4.111	15.8538	5.49096	32.7397	1e+10
4.35877	25.2202	9.17046	66.4548	1e+10
4.62147	86.653	21.3782	1e+10	1e+10
4.9	380.504	155.001	1e+10	1e+10
