0.5	0.99959	0.500205	x	1.01039	p	1.12667e-07	px	0	p2	5.6e-05	p2x	0	p_snap	3.28382e-05	0	500	499.972
1	0.99963	1.00037	x	1.01243	p	1.68267e-06	px	1.52715e-06	p2	0.000834333	p2x	0.000763574	p_snap	0.000854574	0	499.999	499.583
1.5	0.997893	1.50317	x	0.991387	p	1.41173e-05	px	1.31734e-05	p2	0.00702033	p2x	0.0065602	p_snap	0.0103425	0	499.993	496.49
2	0.997705	2.0046	x	0.992865	p	2.88527e-05	px	3.13332e-05	p2	0.0142967	p2x	0.0153377	p_snap	0.0264519	0	499.986	492.852
2.5	0.997665	2.50585	x	0.998892	p	4.7162e-05	px	4.41142e-05	p2	0.0233457	p2x	0.021945	p_snap	0.050018	0	499.976	488.327
3	0.997565	3.00732	x	0.996605	p	6.96947e-05	px	6.88221e-05	p2	0.0344373	p2x	0.0341644	p_snap	0.081631	0	499.965	482.781
3.5	0.997636	3.50829	x	0.996857	p	9.81673e-05	px	9.47909e-05	p2	0.0483603	p2x	0.0465557	p_snap	0.124711	0	499.951	475.82
4	0.997594	4.00965	x	0.996731	p	0.00014406	px	0.000134063	p2	0.0706853	p2x	0.0658815	p_snap	0.184432	0	499.928	464.657
4.5	0.997438	4.51156	x	0.995637	p	0.000211143	px	0.000211687	p2	0.102353	p2x	0.102419	p_snap	0.260271	0	499.894	448.823
5	0.997233	5.01387	x	0.997184	p	0.000296273	px	0.000300583	p2	0.141926	p2x	0.143913	p_snap	0.351565	0	499.852	429.037
5.5	0.997006	5.51652	x	0.996627	p	0.000477347	px	0.000488845	p2	0.219328	p2x	0.222744	p_snap	0.47394	0	499.761	390.336
6	0.996357	6.02194	x	0.995385	p	0.000821756	px	0.000808937	p2	0.336586	p2x	0.336457	p_snap	0.617298	0	499.589	331.707
6.5	0.994418	6.53649	x	0.994458	p	0.00181131	px	0.00180546	p2	0.547189	p2x	0.547007	p_snap	0.788973	0	499.094	226.405
